Pair,Open Time,Open,High,Low,Close,Volume,Close Time,Quote/Base Asset Volume,No. of Trades
DEFIUSDT,08-28-2020 00:00:00,1012.0,1189.0,964.1,1018.8,72469.488,08-28-2020 23:59:59,76191803.1037,89538
DEFIUSDT,08-29-2020 00:00:00,1017.5,1096.5,1015.0,1056.0,51097.047,08-29-2020 23:59:59,53806335.8506,55783
DEFIUSDT,08-30-2020 00:00:00,1056.0,1120.0,1056.0,1085.2,49511.952,08-30-2020 23:59:59,54113562.3396,48418
DEFIUSDT,08-31-2020 00:00:00,1085.0,1095.2,1050.4,1061.2,36092.462,08-31-2020 23:59:59,38811972.8618,30872
DEFIUSDT,09-01-2020 00:00:00,1062.5,1125.8,1035.7,1080.7,48126.384,09-01-2020 23:59:59,52258335.7680,44192
DEFIUSDT,09-02-2020 00:00:00,1081.1,1093.9,930.0,992.7,63481.975,09-02-2020 23:59:59,64040758.3044,78253
DEFIUSDT,09-03-2020 00:00:00,993.1,1005.2,742.5,788.5,84816.530,09-03-2020 23:59:59,76489711.3162,87447
DEFIUSDT,09-04-2020 00:00:00,788.4,853.5,743.9,833.3,72577.928,09-04-2020 23:59:59,58948363.0797,59443
DEFIUSDT,09-05-2020 00:00:00,833.3,857.2,615.6,690.5,77342.905,09-05-2020 23:59:59,58019781.9230,65042
DEFIUSDT,09-06-2020 00:00:00,691.8,800.4,623.2,773.4,71609.026,09-06-2020 23:59:59,51632578.7416,53992
DEFIUSDT,09-07-2020 00:00:00,774.7,788.6,670.9,758.2,67038.494,09-07-2020 23:59:59,49304992.1198,49969
DEFIUSDT,09-08-2020 00:00:00,758.2,769.3,685.9,716.0,56557.758,09-08-2020 23:59:59,41103194.3412,43730
DEFIUSDT,09-09-2020 00:00:00,716.0,799.1,693.8,780.8,44378.724,09-09-2020 23:59:59,33301587.1923,43875
DEFIUSDT,09-10-2020 00:00:00,780.8,837.3,779.9,805.2,65225.038,09-10-2020 23:59:59,52617303.6816,61913
DEFIUSDT,09-11-2020 00:00:00,805.6,825.6,764.7,823.3,63569.778,09-11-2020 23:59:59,50659045.9241,59141
